dataset_id,tab_orig,tab_rot,sc_orig,sc_rot,delta_tabpfn,delta_sc,name,stat_rotation_alignment,set
46979,0.45954195455006425,0.4668517898152739,0.45521759372918413,0.47769715614992764,0.007309835265209674,0.022479562420743504,jm1,1.009066227457334,primary
46980,0.6241311176117879,0.6984121205399756,0.6174783844094401,0.6656781832991261,0.07428100292818773,0.04819979888968595,MIC,1.040999704947844,primary
12,0.04805164206036491,0.06992096446673003,0.12410803554655762,0.15617714870072197,0.02186932240636512,0.032069113154164344,mfeat-factors,0.7891024022930958,replication
14,0.26836668165837535,0.39719860218319797,0.477569619020235,0.6890916162202612,0.12883192052482262,0.21152199720002618,mfeat-fourier,1.3359019304316153,replication
16,0.06549308893411071,0.08912223146835382,0.10560404929225027,0.11645144587821153,0.023629142534243114,0.010847396585961261,mfeat-karhunen,1.3514357996352608,replication
29,0.2955146297037676,0.312653093358592,0.3171647255065006,0.3425298523340857,0.01713846365482441,0.025365126827585127,credit-approval,1.0623003194888179,replication
32,0.0320612033563328,0.04187548362837813,0.06914476133635619,0.058321072142006075,0.009814280272045332,-0.010823689194350117,pendigits,1.1238123976429644,replication
37,0.4383493229621398,0.4351851477140867,0.49021902194534545,0.4922308335728057,-0.003164175248053125,0.0020118116274602804,diabetes,1.0349391212281631,replication
38,0.04587576250507406,0.06470751695037989,0.04891186132886578,0.16256239541673687,0.018831754445305833,0.11365053408787108,sick,1.0278288389241135,replication
54,0.2509219359777646,0.2898342324354894,0.3636737510831262,0.32962510893708186,0.038912296457724815,-0.03404864214604436,vehicle,1.1024890231999613,replication
188,0.6121411210268118,0.6102435058020546,0.967282496732915,0.979951209470991,-0.0018976152247572875,0.012668712738076016,eucalyptus,1.1011876376683243,replication
458,0.001173033667937599,0.002233909821906295,0.020236732824476092,0.02169797676310959,0.0010608761539686957,0.0014612439386334983,analcatdata_authorship,1.1125265392781316,replication
554,0.2717849949233684,0.3321328003236159,0.31752358907848244,0.5242449431212722,0.060347805400247534,0.2067213540427898,mnist_784,1.2955898535973378,replication
1049,0.18111779968411934,0.20638635026667,0.28018320246199285,0.28506285276624593,0.025268550582550647,0.00487965030425308,pc4,1.0287188691945257,replication
1050,0.2380409251188278,0.23823714990866907,0.25349042780873493,0.2355801729295622,0.00019622478984127056,-0.01791025487917272,pc3,0.9927797936193655,replication
1063,0.4149583068494576,0.40706646608652036,0.4335359112800147,0.5047984005733689,-0.007891840762937252,0.07126248929335421,kc2,1.0332715332380271,replication
1068,0.15843905729192764,0.1598780273342009,0.18710903062199674,0.19459650696812694,0.001438970042273252,0.007487476346130201,pc1,0.9700843300044891,replication
1464,0.4778212906462952,0.47844610761931217,0.47154391034152365,0.4854211085264069,0.0006248169730169728,0.013877198184883255,blood-transfusion-service-center,1.0291092309692151,replication
1475,1.1635356744016014,1.1938330353093767,1.2097530110115935,1.2621666247614056,0.03029736090777524,0.05241361374981213,first-order-theorem-proving,1.0168848308999834,replication
1480,0.5114693141125617,0.5304287913214586,0.502084036240519,0.5581161423638588,0.018959477208896902,0.05603210612333975,ilpd,0.9956236323851204,replication
1485,0.2584424778299002,0.6228631451561282,0.4856558634611691,0.6892457757914667,0.36442066732622796,0.2035899123302976,madelon,1.3623889325890748,replication
1487,0.13554830478488167,0.1427498508198871,0.15771528459353673,0.1520638416073451,0.007201546035005418,-0.005651442986191635,ozone-level-8hr,1.003411721700987,replication
1494,0.28852526420706665,0.2989370831584321,0.34515088149920103,0.3282946415310897,0.010411818951365448,-0.01685623996811131,qsar-biodeg,1.003019121100302,replication
1497,0.03603124302407666,0.30847684426194055,0.017910816305845297,0.43875075309361194,0.2724456012378639,0.42083993678776666,wall-robot-navigation,1.495788904074426,replication
1590,0.3158645804613812,0.3256843157050629,0.32442934038812815,0.3439394466367468,0.009819735243681682,0.019510106248618653,adult,1.065856424746739,replication
4538,1.0252674898833298,1.0982418642655702,1.1311053659609076,1.2115774850425187,0.07297437438224041,0.08047211908161112,GesturePhaseSegmentationProcessed,1.085583418242198,replication
6332,0.3906879774174769,0.4259209374837646,0.42260158778908086,0.47107643088348694,0.03523296006628768,0.048474843094406084,cylinder-bands,1.10912343470483,replication
23517,0.6928371965186225,0.6936939959453944,0.7074836805239635,0.7080162817763112,0.0008567994267718593,0.0005326012523476642,numerai28.6,0.9913214412984087,replication
40701,0.14429855194559135,0.18465823183457766,0.17453778020883176,0.2173445178010861,0.04035967988898631,0.04280673759225434,churn,1.0814933579017805,replication
40927,2.006806749137682,2.02996214302365,2.113134262132456,2.128843988233561,0.02315539388596788,0.015709726101105215,CIFAR_10,1.0204663932222529,replication
40966,0.00400710594742852,0.024383213852346784,0.019094471941313824,0.02169573721121051,0.020376107904918263,0.0026012652698966868,MiceProtein,1.2529384109073813,replication
40984,0.13777146825647535,0.14658684939206174,0.18277549766089551,0.21970400263884032,0.008815381135586386,0.03692850497794481,segment,1.079136690647482,replication
40994,0.0779448463155926,0.12457157105806842,0.6607446366451076,0.3553368404833359,0.04662672474247581,-0.3054077961617717,climate-model-simulation-crashes,0.997067448680352,replication
44089,0.47892794957424156,0.506670419712293,0.49192292850748115,0.5312536087157208,0.027742470138051423,0.039330680208239654,credit,1.21189408778812,replication
44122,0.05307585375216607,0.06931147244395659,0.08084934925467319,0.11108769148621286,0.01623561869179052,0.030238342231539678,pol,1.086988344368858,replication
44125,0.316396813205623,0.3395638377073453,0.3718421295952585,0.36807539473588374,0.023167024501722255,-0.003766734859374732,MagicTelescope,1.0482285952308255,replication
44126,0.4403731374261437,0.4510821142990821,0.4622335287812686,0.46774712523470413,0.010708976872938425,0.005513596453435521,bank-marketing,1.0371784779934095,replication
44128,0.18157705028417345,0.25522079593388336,0.195377200624005,0.2975838178401089,0.07364374564970991,0.10220661721610391,MiniBooNE,1.06211065263308,replication
44130,0.6587466363869928,0.6664480350906987,0.6828248581277063,0.6829253645351109,0.007701398703705897,0.00010050640740455474,eye_movements,0.9526263961284448,replication
44156,0.3855411554858234,0.4438318041541108,0.44203586468852746,0.46255092215983906,0.05829064866828737,0.020515057471311604,electricity,1.0551625162747855,replication
44157,0.6564586761738376,0.6639528067370342,0.678468114946358,0.6805283378855528,0.007494130563196588,0.0020602229391948335,eye_movements,0.9770078451587176,replication
45020,0.5568600005269626,0.5646406571387534,0.59219743041171,0.5764651729989179,0.007780656611790837,-0.01573225741279216,default-of-credit-card-clients,1.02959984430674,replication
45021,0.48292467440821685,0.54086346367796,0.5151900942972923,0.5660521266656956,0.05793878926974316,0.050862032368403254,jannis,1.1048743627580515,replication
45026,0.5615897394506264,0.5698853208471777,0.5751451887158273,0.5842539382144758,0.008295581396551288,0.009108749498648483,heloc,1.027857784619894,replication
45028,0.24479432642701435,0.31353539212124043,0.29009766516447305,0.4186863056852347,0.06874106569422608,0.12858864052076163,california,1.0557951844261464,replication
45035,0.6269902752348864,0.6365621862878658,0.6341712055969178,0.6532969958400359,0.009571911052979387,0.019125790243118113,albert,1.1012175382421565,replication
45038,0.49551212737261147,0.5202655186376708,0.5185904503923081,0.5463981757472098,0.02475339126505932,0.027807725354901724,road-safety,1.1228508640156618,replication
46905,0.22334133332267728,0.22726096524210856,0.2528380462685617,0.2549864337816659,0.003919631919431288,0.0021483875131041996,Amazon_employee_access,1.0037287698145865,replication
46911,0.3437119834295322,0.3515580983516768,0.3606166475882557,0.3706248872797366,0.007846114922144598,0.010008239691480902,Bank_Customer_Churn,1.0543452605142811,replication
46913,0.4964364018105631,0.5047040841742794,0.5058481594730916,0.5122983748101596,0.008267682363716278,0.0064502153370680215,blood-transfusion-service-center,0.9916971216874075,replication
46919,0.45755188197402036,0.4549349981679999,0.4717792092312884,0.4777273412810843,-0.0026168838060204314,0.0059481320497958845,credit_card_clients_default,1.003046767179374,replication
46922,0.2863040164013906,0.2858689502540495,0.2980691735311871,0.306850309628353,-0.00043506614734106774,0.00878113609716591,Diabetes130US,0.9950345119030848,replication
46930,0.1330506368300872,0.15124546194938093,0.1816567678278781,0.17903151479961482,0.01819482511929374,-0.0026252530282632747,hazelnut-spread-contaminant-detection,1.025966273690494,replication
46935,0.43798238973840276,0.44784337469230984,0.4503991832808162,0.46985725696736064,0.009860984953907082,0.019458073686544453,HR_Analytics_Job_Change_of_Data_Scientists,1.0381587379054296,replication
46938,0.33816699295923003,0.3438399294931963,0.34219802390932935,0.3545252780644217,0.005672936533966277,0.012327254155092338,Is-this-a-good-customer,1.0116768759571206,replication
46939,0.08569374266945408,0.08740224297577637,0.12623956685701723,0.12109523301218265,0.0017085003063222887,-0.005144333844834578,kddcup09_appetency,1.0041765344275837,replication
46940,0.2449541486363798,0.25704514305115184,0.2689511389584632,0.284628479663509,0.012090994414772044,0.01567734070504584,Marketing_Campaign,1.0118867235345834,replication
46956,0.2134192140784575,0.21493482959332158,0.22563367568127443,0.2228754858032938,0.0015156155148640937,-0.002758189877980627,seismic-bumps,0.9977237794413907,replication
46960,0.5355310427995953,0.5565651481176717,0.5876729999851685,0.6057177086850427,0.021034105318076368,0.01804470869987418,students_dropout_and_academic_success,1.1188228215235243,replication
