dataset_id,strong_classical,tabpfn,actual_gap,n_seeds,name,sc_strong,gap_old,gap_new
46910,0.3112695738650423,0.310645514641457,-0.0006240592235852,2,bank-marketing,0.3073495603107294,-0.0006240592235852715,0.003295954330727602
46912,0.5411017839820165,0.5622282897188581,0.0211265057368416,1,Bioresponse,0.5195340945682628,0.021126505736841605,0.04269419515059525
46915,0.1689083360839887,0.138859492767548,-0.0300488433164406,2,churn,0.1526675611459266,-0.0300488433164407,-0.013808068378378613
46920,0.1732954746371993,0.1371933551285022,-0.0361021195086971,2,customer_satisfaction_in_airline,0.17890437835058798,-0.0361021195086971,-0.04171102322208578
46921,0.5533617475884702,0.4619859427723596,-0.0913758048161106,2,diabetes,0.5219098773837588,-0.09137580481611063,-0.05992393461139922
46927,0.4805440935543099,0.4428239412725597,-0.0377201522817501,2,Fitness_Club,0.4619048833450142,-0.037720152281750186,-0.019080942072454532
46929,0.1936610248699492,0.1831712713323869,-0.0104897535375622,2,GiveMeSomeCredit,0.19127540959406883,-0.010489753537562319,-0.008104138261681937
46932,0.5660140876549435,0.5638760692878005,-0.002138018367143,1,heloc,0.5658686427327588,-0.002138018367143002,-0.00199257344495829
46933,0.1998252908163075,0.1823750875951104,-0.017450203221197,2,hiva_agnostic,0.17962528847388456,-0.017450203221197114,0.002749799121225832
46941,0.5253586589104238,0.421710039067898,-0.1036486198425257,2,maternal_health_risk,0.4710928131259016,-0.10364861984252577,-0.04938277405800362
46947,0.2428896340022591,0.2364716376897615,-0.0064179963124976,2,online_shoppers_intention,0.2298491999206367,-0.0064179963124975925,0.0066224377691248
46950,0.1146780088896503,0.085363145542959,-0.0293148633466913,2,polish_companies_bankruptcy,0.10573935394639557,-0.029314863346691297,-0.02037620840343657
46952,0.3524654153774566,0.2819490444125012,-0.0705163709649554,1,qsar-biodeg,0.31625592448964207,-0.07051637096495544,-0.03430688007714089
46955,0.0920792035751902,0.0889341728094239,-0.0031450307657662,2,SDSS17,0.07840322646774996,-0.0031450307657663046,0.010530946341673939
46958,0.1535465653449655,0.1086441457220714,-0.044902419622894,2,splice,0.092451122538687,-0.044902419622894096,0.016193023183384406
46962,0.0826519738391531,0.0849068062219094,0.0022548323827563,2,taiwanese_bankruptcy_prediction,0.08385897574715159,0.002254832382756297,0.0010478304747578021
46963,0.2678635652960388,0.237909166312343,-0.0299543989836957,2,website_phishing,0.265540143466187,-0.029954398983695785,-0.027630977153843994
46964,0.979301145471775,0.7970922266587868,-0.1822089188129882,2,wine_quality,0.8614408990027441,-0.18220891881298829,-0.06434867234395736
46979,0.4407620584198152,0.4434801536263527,0.0027180952065375,2,jm1,0.43927996210195763,0.0027180952065374853,0.004200191524395047
46980,0.5559815176952119,0.5214873717951904,-0.0344941459000214,2,MIC,0.4747127266477792,-0.03449414590002142,0.04677464514741125
